,X1,X2,X3,X4,X5,X6,X7,X8,avg1,date_txt,yr,mon,day,date,avg_sm,avg_sm2,r0_t,r0_t_sm
89,0.005671882,0.004867207,0.005149762,0.006381918,0.007555785,0.008697952,0.009656031,0.009927075,0.007238451,20201010,2020,10,88,10/10/2020,0.007880196,0.013026494,2.674364349,2.699684146
90,0.010041938,0.010748727,0.010582066,0.009291782,0.008010687,0.006313156,0.005547218,0.00548192,0.008252187,20201011,2020,10,89,10/11/2020,0.007540231,0.013136443,2.535470464,2.724979394
91,0.006384769,0.007204921,0.006528246,0.005944042,0.005940285,0.006122751,0.006112239,0.006100686,0.006292242,20201012,2020,10,90,10/12/2020,0.006856161,0.013106333,2.836338268,2.777956544
92,0.006727737,0.00770022,0.008148042,0.008526266,0.008315784,0.008954881,0.009415511,0.009168247,0.008369586,20201013,2020,10,91,10/13/2020,0.006691227,0.013053776,2.521358258,2.793173941
93,0.008616554,0.007779595,0.005936429,0.005785488,0.005852449,0.005442023,0.005058262,0.005474132,0.006243116,20201014,2020,10,92,10/14/2020,0.006604996,0.013041208,2.845737714,2.807681827
94,0.005404444,0.004795228,0.00523994,0.005869281,0.006690237,0.008011039,0.007234406,0.008115641,0.006420027,20201015,2020,10,93,10/15/2020,0.006538693,0.012998595,2.812375051,2.818728237
95,0.009369996,0.011071723,0.011844733,0.011834845,0.011149679,0.008164522,0.00689464,0.006781868,0.009639001,20201016,2020,10,94,10/16/2020,0.006846575,0.012959164,2.39058498,2.772246968
96,0.006248823,0.005889669,0.005189364,0.004489262,0.003985464,0.003976865,0.003242815,0.002943101,0.00449567,20201017,2020,10,95,10/17/2020,0.006788128,0.013296096,3.258597447,2.787516672
97,0.002610226,0.00261887,0.002818789,0.003152319,0.003694423,0.004855465,0.005467265,0.005571707,0.003848633,20201018,2020,10,96,10/18/2020,0.00671326,0.013150658,3.458194423,2.809614065
98,0.005837841,0.006244923,0.006651449,0.006977969,0.007172215,0.007156688,0.007167903,0.007284855,0.00681173,20201019,2020,10,97,10/19/2020,0.006676428,0.013026494,2.743114088,2.815489481
99,0.007534344,0.00802453,0.007889469,0.008433361,0.010115205,0.010849606,0.011479479,0.011758669,0.009510583,20201020,2020,10,98,10/20/2020,0.006804313,0.013136443,2.40216426,2.801046748
100,0.011809123,0.01175311,0.011695755,0.011531467,0.011330171,0.01138928,0.011989851,0.012503735,0.011750311,20201021,2020,10,99,10/21/2020,0.007098803,0.013037613,2.24160941,2.774215318
101,0.012767844,0.01278853,0.012768998,0.012558689,0.011681586,0.010544386,0.010774733,0.01121869,0.011887932,20201022,2020,10,100,10/22/2020,0.007560037,0.012721016,2.234162133,2.718267034
102,0.011615949,0.011850737,0.011787295,0.011505865,0.011072372,0.010920685,0.010630786,0.010755787,0.011267435,20201023,2020,10,101,10/23/2020,0.008001922,0.012656044,2.269664038,2.658838206
103,0.010603035,0.010258551,0.010181925,0.010020101,0.009482702,0.009887054,0.010269,0.007801448,0.009812977,20201024,2020,10,102,10/24/2020,0.008185816,0.012585816,2.375427722,2.63748559
104,0.005210286,0.004345921,0.004060855,0.0037042,0.003508028,0.003429111,0.003344287,0.003417637,0.003877541,20201025,2020,10,103,10/25/2020,0.007873342,0.012760979,3.448636041,2.702711702
105,0.004101146,0.005858638,0.006459019,0.00671209,0.006920717,0.007528545,0.008516674,0.009205034,0.006912733,20201026,2020,10,104,10/26/2020,0.007917663,0.012800598,2.726233444,2.694847072
106,0.009654488,0.010301569,0.009486319,0.00760923,0.005380159,0.005268932,0.005339058,0.005433731,0.007309186,20201027,2020,10,105,10/27/2020,0.00784192,0.012775003,2.663599256,2.705007143
107,0.005533351,0.005194305,0.005463867,0.00657405,0.007717837,0.008429129,0.008133122,0.007461393,0.006813382,20201028,2020,10,106,10/28/2020,0.007882653,0.012718084,2.742834976,2.697656948
108,0.007013728,0.006507161,0.005749219,0.005219207,0.005702452,0.006460917,0.006502262,0.006473908,0.006203607,20201029,2020,10,107,10/29/2020,0.007867194,0.012695931,2.853373864,2.700585434
109,0.005572326,0.005323286,0.005120631,0.004742677,0.003922355,0.003736261,0.003622849,0.003695571,0.004466994,20201030,2020,10,108,10/30/2020,0.007497765,0.012954319,3.266835082,2.763174728
110,0.0035253,0.003120065,0.002575188,0.001997664,0.001967097,0.002092655,0.002129176,0.002458914,0.002483257,20201031,2020,10,109,10/31/2020,0.007354022,0.01276045,3.989377735,2.815373319
111,0.002810141,0.003224307,0.003544266,0.003742698,0.00429634,0.005154392,0.006404738,0.007027788,0.004525584,20201101,2020,11,110,11/1/2020,0.007402375,0.013001166,3.250061399,2.800506675
112,0.00796899,0.004064321,0.003121159,0.0030186,0.002978514,0.002338647,0.001772286,0.001728534,0.003373881,20201102,2020,11,111,11/2/2020,0.007156814,0.012945542,3.624507914,2.863463377
113,0.001978241,0.00257237,0.002772248,0.002786897,0.0029555,0.003818493,0.003181759,0.00259038,0.002831986,20201103,2020,11,112,11/3/2020,0.006679772,0.012455853,3.837647486,2.965997893
114,0.002245194,0.002138175,0.002164809,0.002910431,0.004439729,0.004728674,0.004893197,0.005283791,0.0036005,20201104,2020,11,113,11/4/2020,0.006097642,0.012191968,3.542877581,3.058945619
115,0.004758527,0.004299957,0.004705396,0.005623254,0.005844551,0.005823378,0.007367824,0.008500306,0.005865399,20201105,2020,11,114,11/5/2020,0.005667462,0.012221506,2.921626406,3.10805021
116,0.008359379,0.007970244,0.007036211,0.006393734,0.006394099,0.005966875,0.006883878,0.007506568,0.007063874,20201106,2020,11,115,11/6/2020,0.005367207,0.012232835,2.70168671,3.138908973
117,0.007318113,0.006515846,0.005620177,0.00518128,0.00526208,0.00577481,0.006160619,0.005898732,0.005966457,20201107,2020,11,116,11/7/2020,0.005092456,0.012340616,2.900679306,3.176426943
118,0.005423752,0.00492855,0.004306183,0.004070749,0.00472648,0.005235697,0.005788923,0.005348422,0.004978594,20201108,2020,11,117,11/8/2020,0.005171102,0.012432478,3.127646506,3.153499119
119,0.005031399,0.004869266,0.004745009,0.004360981,0.004014549,0.003976665,0.00488079,0.005219353,0.004637252,20201109,2020,11,118,11/9/2020,0.005008568,0.012679519,3.218704246,3.188675605
120,0.005946169,0.008293624,0.009609287,0.00913225,0.008519644,0.00957966,0.010465316,0.010906732,0.009056585,20201110,2020,11,119,11/10/2020,0.005133382,0.012883494,2.445922469,3.173127263
121,0.010570893,0.010306607,0.010680346,0.010910742,0.01182574,0.012251294,0.012645465,0.012879533,0.011508828,20201111,2020,11,120,11/11/2020,0.005468771,0.0128821,2.255254217,3.138300066
122,0.012639088,0.012585993,0.012669758,0.011342652,0.007696373,0.005203363,0.005553018,0.004819242,0.009063686,20201112,2020,11,121,11/12/2020,0.005673063,0.012710942,2.44520271,3.109144983
123,0.004581595,0.004764386,0.004982558,0.005355115,0.005725485,0.005964749,0.006163607,0.006073894,0.005451423,20201113,2020,11,122,11/13/2020,0.005743379,0.01247808,3.012643404,3.090988435
124,0.005296125,0.00427949,0.004466831,0.004437438,0.004386296,0.003469379,0.002882436,0.002864025,0.004010252,20201114,2020,11,123,11/14/2020,0.00585245,0.01234328,3.405552611,3.04928664
125,0.002721824,0.002660979,0.002474062,0.002551766,0.003265635,0.004519222,0.005495077,0.006810568,0.003812391,20201115,2020,11,124,11/15/2020,0.005801508,0.012072341,3.470266836,3.0650156
126,0.009058563,0.007800905,0.004514367,0.003951429,0.003411356,0.003262668,0.003194551,0.003123832,0.004789709,20201116,2020,11,125,11/16/2020,0.005902638,0.011876028,3.177159364,3.033062132
127,0.002870043,0.00277821,0.002879851,0.002763713,0.002617296,0.003090311,0.003964208,0.003945996,0.003113703,20201117,2020,11,126,11/17/2020,0.005922761,0.011760775,3.723566113,3.024913463
128,0.003136853,0.00235759,0.002040076,0.001938284,0.00165984,0.001478222,0.001445302,0.001493885,0.001943756,20201118,2020,11,127,11/18/2020,0.005804422,0.01168818,4.249163524,3.075362459
129,0.001416158,0.001441549,0.001532914,0.001570313,0.00170053,0.002117994,0.002486366,0.002966171,0.001903999,20201119,2020,11,128,11/19/2020,0.005521465,0.011647064,4.269598885,3.171646207
130,0.003194665,0.003040404,0.002923153,0.003162373,0.003442933,0.00388064,0.004972039,0.005355569,0.003746472,20201120,2020,11,129,11/20/2020,0.005284508,0.011631426,3.492482091,3.228131592
131,0.005586287,0.005549231,0.005545013,0.005799234,0.006289713,0.00543263,0.004535489,0.003896585,0.005329273,20201121,2020,11,130,11/21/2020,0.005238995,0.011660683,3.041178642,3.238167258
132,0.003612461,0.003300477,0.003331028,0.002887004,0.003006214,0.004191038,0.005356592,0.005936611,0.003952678,20201122,2020,11,131,11/22/2020,0.005165715,0.011567623,3.424083862,3.259341355
133,0.006590545,0.00795954,0.00972556,0.00965689,0.00951243,0.00513848,0.0036107,0.003095393,0.006911192,20201123,2020,11,132,11/23/2020,0.005328139,0.011018731,2.726488064,3.224183057
134,0.003173114,0.003370326,0.003566823,0.00359505,0.003512471,0.002940763,0.002570457,0.002418719,0.003143465,20201124,2020,11,133,11/24/2020,0.004905774,0.010785161,3.711935488,3.314612558
135,0.002331445,0.002402436,0.002945758,0.003975818,0.004422294,0.004774052,0.004921771,0.005105028,0.003859825,20201125,2020,11,134,11/25/2020,0.004359416,0.010858205,3.454486197,3.400271985
136,0.004875289,0.005302031,0.007429662,0.008374159,0.00924034,0.009846269,0.009813349,0.008232106,0.007889151,20201126,2020,11,135,11/26/2020,0.004275521,0.011333834,2.581572985,3.410012719
137,0.006712936,0.006268737,0.006318302,0.00586121,0.005721051,0.005793458,0.005780817,0.005955012,0.00605144,20201127,2020,11,136,11/27/2020,0.004318379,0.011268176,2.883433084,3.40078341
138,0.005213459,0.004507318,0.004609846,0.004784082,0.004798297,0.004383655,0.004560607,0.004374202,0.004653933,20201128,2020,11,137,11/28/2020,0.004364356,0.011030952,3.214087946,3.387107363
139,0.003404299,0.002962973,0.002733821,0.002494768,0.002338283,0.002388173,0.002762227,0.002914941,0.002749936,20201129,2020,11,138,11/29/2020,0.004288467,0.010777673,3.872271896,3.41582201
140,0.003034143,0.003253721,0.003496016,0.00475601,0.0058443,0.00844345,0.010559466,0.011743824,0.006391366,20201130,2020,11,139,11/30/2020,0.004402871,0.0104416,2.817689331,3.390145579
141,0.011735143,0.011437382,0.009751444,0.006530857,0.00628768,0.005708371,0.004381321,0.003947877,0.007472509,20201201,2020,12,140,12/1/2020,0.004714214,0.010858205,2.639394963,3.312704783
